FKZ;modulzuordnung_ptj_1;modulzuordnung_ptj_2;modulzuordnung_ptj_3;modulzuordnung_ptj_4
03ETW016D;M4;M3;;
03ETW016C;M4;M3;;
03ETW016A;M4;M3;;
03ETW016E;M4;M3;;
03ETW016B;M4;M3;;
03EGB0019;M2;M3;M1;M4
03ET1512A;M2;M3;;
03EWR010K;M3;M4;;
03EN3040B;M3;M4;;
03EN3040C;M3;M4;;
03EN3040A;M3;M4;;
03EN1035B;M2;M4;;
03EN1035A;M2;M4;;
03EN3033C;M3;M4;;
03EN3033A;M3;M4;;
03EN3033B;M3;M4;;
03EN3033D;M3;M4;;
03EN1037D;M2;M4;;
03EN1037B;M2;M4;;
03EN1037C;M2;M4;;
03EN1037A;M2;M4;;
03EN1034B;M2;M4;;
03EN1034A;M2;M4;;
03EN3026D;M3;M4;;
03EN3026C;M3;M4;;
03EN3026F;M3;M4;;
03EN3026E;M3;M4;;
03EN3026A;M3;M4;;
03EN3026B;M3;M4;;
03EN3015C;M3;M4;;
03EN3015B;M3;M4;;
03EN3015A;M3;M4;;
03EN1010B;M2;M4;;
03EN1010G;M2;M4;;
03EN1010F;M2;M4;;
03EN1010H;M2;M4;;
03EN1010A;M2;M4;;
03EN1010D;M2;M4;;
03EN1010E;M2;M4;;
03EN1010C;M2;M4;;
03EGB0026D;M2;M4;;
03EGB0026B;M2;M4;;
03EGB0026E;M2;M4;;
03EGB0026F;M2;M4;;
03EGB0026A;M2;M4;;
03EGB0026C;M2;M4;;
03EN3021E;M4;M4;;
03EN1016B;M2;M4;;
03EN1016E;M2;M4;;
03EN1016A;M2;M4;;
03EN1016C;M2;M4;;
03EN1016D;M2;M4;;
03ETW017A;M2;M4;;
03EN3017;M3;M4;;
03EN1017A;M2;M4;;
03EN1017B;M2;M4;;
03EWR010B;M3;M4;;
03EWR010G;M3;M4;;
03EWR010C;M3;M4;;
03EWR010I;M3;M4;;
03EWR010A;M3;M4;;
03EWR010F;M3;M4;;
03EWR010J;M3;M4;;
03EWR010E;M3;M4;;
03EN3010B;M3;M4;;
03EN3010A;M3;M4;;
03EN3009F;M3;M4;;
03EN3009C;M3;M4;;
03EN3009A;M3;M4;;
03EN3009B;M3;M4;;
03EN3009E;M3;M4;;
03EN3009D;M3;M4;;
03EN1011C;M2;M4;;
03EN1011B;M2;M4;;
03EN1011A;M2;M4;;
03ET1371E;M2;M4;;
03EN3006B;M3;M4;;
03EN3006G;M3;M4;;
03EN3006C;M3;M4;;
03EN3006D;M3;M4;;
03EN3006F;M3;M4;;
03EN3006E;M3;M4;;
03EN3006A;M3;M4;;
03EN1007B;M2;M4;;
03EN1007D;M2;M4;;
03EN1007A;M2;M4;;
03EN1007C;M2;M4;;
03EGB0016A;M3;M4;;
03EGB0016C;M3;M4;;
03EGB0016B;M3;M4;;
03ET1570G;M2;M4;;
03ET1673A;M3;M4;;
03ET1673C;M3;M4;;
03ET1673B;M3;M4;;
03ET1668B;M3;M4;;
03ET1668A;M3;M4;;
03ET1620B;M3;M4;;
03ET1620A;M3;M4;;
03EN1002D;M2;M4;;
03EN1002A;M2;M4;;
03EN1002E;M2;M4;;
03EN1002C;M2;M4;;
03EN1002B;M2;M4;;
03ET1495A;M2;M4;;
03ET1495C;M2;M4;;
03ET1495B;M2;M4;;
03ETW006A;M2;M4;;
03ETW006C;M2;M4;;
03ETW006B;M2;M4;;
03ET1629A;M3;M4;;
03ET1629D;M3;M4;;
03ET1629B;M3;M4;;
03ET1629C;M3;M4;;
03ET1648B;M2;M4;;
03ET1648A;M2;M4;;
03ET1649B;M2;M4;;
03ET1649A;M2;M4;;
03EGB0014B;M3;M4;;
03EGB0014A;M3;M4;;
03ET1624D;M3;M4;;
03ET1624A;M3;M4;;
03ET1624C;M3;M4;;
03ET1624B;M3;M4;;
03ET1621E;M2;M4;;
03ET1621B;M2;M4;;
03ET1621A;M2;M4;;
03ET1621C;M2;M4;;
03ET1621D;M2;M4;;
03ETW004A;M3;M4;;
03ETW004B;M3;M4;;
03ETW004C;M3;M4;;
03ETS001D;M2;M4;;
03EGB0013A;M2;M4;;
03EGB0013B;M2;M4;;
03ET1587B;M3;M4;;
03ET1587A;M3;M4;;
03ET1587C;M3;M4;;
03ET1591A;M3;M4;;
03ET1591B;M3;M4;;
03ET1605;M2;M4;;
03ET1613A;M2;M4;;
03ET1613D;M2;M4;;
03ET1613C;M2;M4;;
03ET1613B;M2;M4;;
03ET1569;M2;M4;;
03ET1595C;M2;M4;;
03ET1595A;M2;M4;;
03ET1595B;M2;M4;;
03ET1570E;M2;M4;;
03ET1570D;M2;M4;;
03ET1570A;M2;M4;;
03ET1570C;M2;M4;;
03ET1570B;M2;M4;;
03ET1567D;M2;M4;;
03ET1567B;M2;M4;;
03ET1567C;M2;M4;;
03ET1567A;M2;M4;;
03ET1567E;M2;M4;;
03ET1567F;M2;M4;;
03ET1371D;M2;M4;;
03ET1371A;M2;M4;;
03ET1560A;M2;M4;;
03ET1560B;M2;M4;;
03ET1560C;M2;M4;;
03ET1529A;M3;M4;;
03ET1529B;M3;M4;;
03ET1529D;M3;M4;;
03ET1573A;M2;M4;;
03ET1573B;M2;M4;;
03ET1573C;M2;M4;;
03ET1573D;M2;M4;;
03ET1566A;M2;M4;;
03ET1566B;M2;M4;;
03EGB0009D;M2;M4;;
03EGB0009E;M2;M4;;
03EGB0009B;M2;M4;;
03EGB0009C;M2;M4;;
03EGB0009A;M2;M4;;
03EGB0010A;M2;M4;;
03ET1538A;M3;M4;;
03ET1538B;M3;M4;;
03ET1550A;M2;M4;;
03ET1551A;M2;M4;;
03ET1459F;M3;M4;;
03SBE0006A;M2;M4;;
03SBE0006B;M2;M4;;
03EGB0004A;M2;M4;;
03ET1485A;M2;M4;;
03ETS001A;M2;M4;;
03EGB0001F;M2;M4;;
03EGB0001B;M2;M4;;
03EGB0001C;M2;M4;;
03EGB0001A;M2;M4;;
03EGB0001D;M2;M4;;
03EGB0001G;M2;M4;;
03EGB0001E;M2;M4;;
03SBE0007E;M2;M4;;
03SBE0007A;M2;M4;;
03SBE0007C;M2;M4;;
03SBE0007B;M2;M4;;
03EGB0004B;M2;M4;;
03EGB0004C;M2;M4;;
03EGB0004E;M2;M4;;
03EGB0004D;M2;M4;;
03ET1459E;M3;M4;;
03ET1459B;M3;M4;;
03ET1459C;M3;M4;;
03ET1459A;M3;M4;;
03ET1299C;M2;M4;;
03SBE0002D;M2;M4;;
03SBE0002C;M2;M4;;
03SBE0002B;M2;M4;;
03SBE0002A;M2;M4;;
03ET1413C;M3;M4;;
03ET1413D;M3;M4;;
03ET1413F;M3;M4;;
03ET1413A;M3;M4;;
03ET1413E;M3;M4;;
03ET1413B;M3;M4;;
03ET1466B;M2;M4;;
03ET1466A;M2;M4;;
03ET1466C;M2;M4;;
03ET1466D;M2;M4;;
03ET1416E;M2;M4;;
03ET1416B;M2;M4;;
03ET1416A;M2;M4;;
03ET1416D;M2;M4;;
03ET1416F;M2;M4;;
03ET1447A;M2;M4;;
03ET1447B;M2;M4;;
03ET1412A;M3;M4;;
03ET1299B;M2;M4;;
03ET1299A;M2;M4;;
03EGB0034;M2;M1;;
03EN1044C;M2;M1;;
03EN1044B;M2;M1;;
03EN1044A;M2;M1;M4;
03EN1047;M2;M1;;
03EN1046A;M4;M1;M2;
03EN1046B;M4;M1;M2;
03EN1046C;M4;M1;M2;
03EN1046D;M4;M1;M2;
03EN1043A;M4;M2;;
03EN1043B;M4;M2;;
03EN1043D;M4;M2;;
03EN1043E;M4;M2;;
03EN1051B;M4;M2;;
03EN1051A;M4;M2;;
03EN1050C;M4;M2;;
03EN1050B;M4;M2;;
03EN1050A;M4;M2;;
03EN6011C;M1;M3;;
03EN6011B;M1;M3;;
03EN6011A;M1;M3;;
03EN3048B;M3;M4;;
03EN3048A;M3;M4;;
03EN3047A;M3;M4;;
03EN3027D;M3;M4;;
03EN3027C;M3;M4;;
03EN3027B;M3;M4;;
03EN3027A;M3;M4;;
03EN1036F;M2;M4;;
03EN1036D;M2;M4;;
03EN1036C;M2;M4;;
03EN1036B;M2;M4;;
03EN1036A;M2;M4;;
03EN1055C;M2;M4;;
03EN1055B;M2;M4;;
03EN1055A;M2;M4;;
03EN1054B;M2;M4;;
03EN1054A;M2;M4;;
03EN3044E;M3;;;
03EN3044D;M3;;;
03EN3044C;M3;;;
03EN3044B;M3;;;
03EN3044A;M3;;;
03EN3047E;M3;;;
03EN3047G;M3;;;
03EN3047F;M3;;;
03EN3047D;M3;;;
03EN3047C;M3;;;
03EN3047B;M3;;;
03EN6010B;M2;;;
03EN6010A;M2;;;
03EN6007B;M3;;;
03EN6007A;M3;;;
03EN6008C;M2;;;
03EN6008B;M2;;;
03EN6008A;M2;;;
03EN3037A;M3;;;
03EN3037B;M3;;;
03EN3037D;M3;;;
03EN3037C;M3;;;
03EN3043;M3;;;
03EN1033A;M2;;;
03EN1033B;M2;;;
03EN1033C;M2;;;
03EN1033D;M2;;;
03EN1033F;M2;;;
03EN1033G;M2;;;
03EN1045A;M2;;;
03EN1045B;M2;;;
03EN1045C;M2;;;
03EN6005A;M2;;;
03EN6005B;M2;;;
03EN6005C;M2;;;
03EN6005D;M2;;;
03EGB0033E;M2;;;
03EGB0033D;M2;;;
03EGB0033C;M2;;;
03EGB0033B;M2;;;
03EGB0033A;M2;;;
03EN3042G;M3;;;
03EN3042E;M3;;;
03EN3042B;M3;;;
03EN3042F;M3;;;
03EN3042D;M3;;;
03EN3042C;M3;;;
03EN3042A;M3;;;
03EN3041F;M3;;;
03EN3041E;M3;;;
03EN3041D;M3;;;
03EN3041C;M3;;;
03EN3041B;M3;;;
03EN3041A;M3;;;
03EN1039D;M2;;;
03EN1039C;M2;;;
03EN1039B;M2;;;
03EN1039A;M2;;;
03EN6002E;M2;;;
03EN6002D;M2;;;
03EN6002C;M2;;;
03EN6002B;M2;;;
03EN6002A;M2;;;
03EN3039;M3;;;
03EN3038A;M3;;;
03EN3038B;M3;;;
03EN1040B;M2;;;
03EN1040C;M2;;;
03EN1040A;M2;;;
03EN1041C;M2;;;
03EN1041D;M2;;;
03EN1041B;M2;;;
03EN1041A;M2;;;
03EWR002G;M3;;;
03EWR002J;M3;;;
03EWR002I;M3;;;
03EWR002K;M3;;;
03EWR002O;M3;;;
03EWR002F;M3;;;
03EWR002E;M3;;;
03EWR002C;M3;;;
03EWR002B;M3;;;
03EWR002L;M3;;;
03EWR002D;M3;;;
03EWR002P;M3;;;
03EWR002A;M3;;;
03EWR002M;M3;;;
03EWR002N;M3;;;
03EWR002H;M3;;;
03EN6001B;M2;;;
