FKZ;modulzuordnung_ptj_1;modulzuordnung_ptj_2;modulzuordnung_ptj_3;modulzuordnung_ptj_4
03SBE114I;M3;;;
03SBE0008A;M2;;;
03SBE0008G;M2;;;
03SBE0008C;M2;;;
03SBE0008E;M2;;;
03SBE0008D;M2;;;
03SBE0008F;M2;;;
03SBE115D;M3;;;
03SBE115E;M3;;;
03SBE115F;M3;;;
03SBE115A;M3;;;
03SBE113U;M3;;;
03SBE113N;M3;;;
03SBE113L;M3;;;
03SBE113I;M3;;;
03SBE113O;M3;;;
03SBE113J;M3;;;
03SBE114M;M3;;;
03SBE114K;M3;;;
03SBE114G;M3;;;
03SBE114C;M3;;;
03SBE114H;M3;;;
03SBE113S;M3;;;
03SBE0004C;M2;;;
03SBE0004B;M2;;;
03SBE0004A;M2;;;
03ETS001B;M2;;;
03EGB0008B;M2;;;
03EGB0008A;M2;;;
03ET1522C;M3;;;
03ET1522A;M3;;;
03ET1522B;M3;;;
03ET1512D;M2;;;
03ET1512C;M2;;;
03ET1509E;M2;;;
03ET1509A;M2;;;
03ET1509B;M2;;;
03ET1509D;M2;;;
03ET1509C;M2;;;
03ET1526A;M2;;;
03SBE112A;M3;;;
03SBE112D;M3;;;
03SBE112B;M3;;;
03SBE112F;M3;;;
03SBE112E;M3;;;
03SBE0005B;M2;;;
03SBE0005A;M2;;;
03ET1362B;M3;;;
03ET1362A;M3;;;
03ET1362D;M3;;;
03ETS002A;M3;;;
03ETS002B;M3;;;
03ET1498B;M3;;;
03ET1498E;M3;;;
03ET1498A;M3;;;
03ET1498C;M3;;;
03ET1498D;M3;;;
03ET1444D;M3;;;
03ET1444B;M3;;;
03ET1444A;M3;;;
03ET1444C;M3;;;
03EGB0005A;M2;;;
03EGB0005B;M2;;;
03EGB0005C;M2;;;
03ET1479A;M2;;;
03ET1479B;M2;;;
03ET1494A;M2;;;
03ET1494B;M2;;;
03ET1500A;M2;;;
03EGB0002B;M3;;;
03EGB0002A;M3;;;
03EGB0002C;M3;;;
03ET1463C;M2;;;
03ET1463B;M2;;;
03ET1463A;M2;;;
03ET1457G;M3;;;
03ET1457D;M3;;;
03ET1457E;M3;;;
03ET1457F;M3;;;
03ET1457B;M3;;;
03ET1457C;M3;;;
03ET1457A;M3;;;
03ET1470C;M2;;;
03ET1470B;M2;;;
03ET1470A;M2;;;
03ET1470H;M2;;;
03ET1470G;M2;;;
03ET1470D;M2;;;
03ET1461A;M2;;;
03ET1472B;M2;;;
03ET1472A;M2;;;
03ET1451A;M2;;;
03ET1451B;M2;;;
03ET1451C;M2;;;
03ET1476A;M2;;;
0325897A;ag;;;
03ET1464C;M2;;;
03ET1464B;M2;;;
03ET1464A;M2;;;
03ET1454A;M2;;;
03ET1414A;M2;;;
03ET1432B;M2;;;
03ET1432A;M2;;;
03ET1432C;M2;;;
03ET1468C;ag;;;
03ET1475A;M3;;;
03ET1465C;M3;;;
03ET1465A;M3;;;
03ET1465B;M3;;;
03ET1458B;M3;;;
03ET1458A;M3;;;
03ET1458C;M3;;;
03ET1425C;M3;;;
03ET1425B;M3;;;
03ET1425A;M3;;;
03ET1424C;M2;;;
03ET1424B;M2;;;
03ET1424A;M2;;;
03ET1424D;M2;;;
03ET1424E;M2;;;
03ET1405A;M2;;;
03ET1410A;ag;;;
03ET1410C;M3;;;
0325869B;M3;;;
0325869A;M3;;;
03ET1417C;M3;;;
03ET1417A;M3;;;
03ET1417D;M3;;;
03ET1417B;M3;;;
03ET1431A;M2;;;
0325868B;M2;;;
0325868A;M2;;;
0325867B;ag;;;
03ET1421A;M2;;;
03ET1399A;M2;;;
0325865A;M2;;;
03ET1401D;M2;;;
03ET1401A;M2;;;
03ET1401B;M2;;;
03ET1401C;M2;;;
03ET1372B;M2;;;
03ET1372C;M2;;;
03ET1399C;M2;;;
03ET1399B;M2;;;
03ET1399F;M2;;;
03ET1408D;ag;;;
03ET1408B;ag;;;
03ET1408A;ag;;;
03ET1324E;ag;;;
03ET1324F;ag;;;
03ET1374A;M2;;;
03ET1374B;M2;;;
03ET1374C;M2;;;
0325859;M1;;;
03ET1368A;ag;;;
03ET1388A;ag;;;
03ET1389A;M3;;;
03ET1342A;ag;;;
03ET1323A;M3;;;
03ET1334B;M2;;;
03ET1327A;ag;;;
03ET1240M;ag;;;
03ET1156B;M3;;;
03ET1156A;M3;;;
03EN3046K;M3;;;
03EN3046J;M3;;;
03EN3046I;M3;;;
03EN3046G;M3;;;
03EN3046F;M3;;;
03EN3046E;M3;;;
03EN3046D;M3;;;
03EN3046C;M3;;;
03EN3046B;M3;;;
03EN3046A;M3;;;
03EN3049E;M3;;;
03EN3049D;M3;;;
03EN3049C;M3;;;
03EN3049B;M3;;;
03EN3049A;M3;;;
03EWB004C;;;;
03EWB004B;;;;
03EWB004A;;;;
03EWB003C;;;;
03EWB003B;;;;
03EWB003A;;;;
03EWB001B;;;;
03EWB001A;;;;
03EWB001C;;;;
03EWB002B;;;;
03EWB002A;;;;
03EN3051E;M4;M3;M1;
03EN3051D;M4;M3;M1;
03EN3051C;M4;M3;M1;
03EN3051B;M4;M3;M1;
03EN3051A;M4;M3;M1;
03EN3045K;M3;;;
03EN3045J;M3;;;
03EN3045I;M3;;;
03EN3045H;M3;;;
03EN3045G;M3;;;
03EN3045F;M3;;;
03EN3045E;M3;;;
03EN3045D;M3;;;
03EN3045C;M3;;;
03EN3045B;M3;;;
03EN3045A;M3;;;
03EN3055D;M3;M4;;
03EN3055C;M3;M4;;
03EN3055B;M3;M4;;
03EN3055A;M3;M4;;
03SBE114N;M3;;;
03EN1052D;M2;;;
03EN1052C;M2;;;
03EN1052B;M2;;;
03EN1052A;M2;;;
03EN1049D;M2;;;
03EN1049C;M2;;;
03EN1049B;M2;;;
03EN1049A;M2;;;
